                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8899,                 6.6154,                 2.1298,                0.64502,                0.51702,                0.57334,                0.24062,                 1.8918,                  3.507,                 2.1105,             0.00036945,             0.00036945,             0.00036945
                      2,                 1.7706,                 4.2964,                 1.9649,                 0.7118,                0.64135,                0.67754,                0.34756,                 1.7838,                 2.5721,                 1.8632,             0.00071049,             0.00071049,             0.00071049
                      3,                 1.7514,                 3.0739,                 1.8871,                0.70915,                0.58635,                0.63845,                0.30489,                 1.8265,                 2.1445,                 1.8769,              0.0010222,              0.0010222,              0.0010222
                      4,                 1.7086,                  2.439,                 1.8367,                0.75233,                0.65953,                0.71477,                0.35316,                 1.7909,                 1.4751,                 1.8097,             0.00097901,             0.00097901,             0.00097901
                      5,                 1.6649,                 2.1181,                 1.8225,                0.76257,                0.68287,                0.74483,                0.37184,                 1.7393,                 1.3439,                 1.8006,             0.00097901,             0.00097901,             0.00097901
                      6,                 1.6106,                 1.9515,                  1.779,                0.78322,                 0.7425,                0.78104,                0.37838,                 1.7399,                  1.313,                 1.7876,             0.00093502,             0.00093502,             0.00093502
                      7,                 1.5979,                 1.7876,                 1.7484,                0.76443,                0.68465,                0.75179,                0.39465,                 1.7247,                 1.3266,                 1.8304,             0.00089102,             0.00089102,             0.00089102
                      8,                 1.5506,                 1.6963,                 1.7176,                0.74384,                0.71699,                0.79521,                0.41977,                 1.6826,                 1.2013,                 1.7342,             0.00084703,             0.00084703,             0.00084703
                      9,                 1.5678,                 1.6594,                 1.7299,                0.71261,                0.77136,                0.79035,                0.40394,                 1.6982,                 1.2287,                 1.7572,             0.00080303,             0.00080303,             0.00080303
                     10,                 1.5347,                 1.5886,                 1.6908,                0.75855,                0.75663,                0.81028,                0.47034,                 1.5141,                 1.1243,                 1.6519,             0.00075904,             0.00075904,             0.00075904
                     11,                 1.5066,                 1.5311,                 1.6818,                0.70533,                0.69231,                0.77945,                0.44907,                 1.5094,                 1.1925,                 1.5946,             0.00071504,             0.00071504,             0.00071504
                     12,                 1.4839,                 1.4708,                 1.6431,                 0.7546,                0.67203,                0.79565,                0.40459,                 1.7514,                 1.2596,                 1.8075,             0.00067104,             0.00067104,             0.00067104
                     13,                 1.4638,                 1.4254,                 1.6357,                0.82946,                  0.785,                0.83365,                0.46182,                 1.6042,                 1.0705,                 1.6924,             0.00062705,             0.00062705,             0.00062705
                     14,                 1.4352,                  1.371,                 1.6141,                0.80456,                0.80911,                 0.8386,                0.46318,                 1.5967,                 1.0264,                  1.727,             0.00058305,             0.00058305,             0.00058305
                     15,                 1.4206,                 1.3212,                  1.602,                  0.782,                0.79457,                0.84683,                0.48988,                 1.4878,                0.96323,                 1.5779,             0.00053906,             0.00053906,             0.00053906
                     16,                 1.3464,                 1.2209,                  1.643,                0.73806,                0.78243,                0.80826,                0.46403,                  1.556,                  1.017,                 1.6685,             0.00049506,             0.00049506,             0.00049506
                     17,                  1.318,                 1.1483,                 1.6038,                0.77773,                0.80379,                0.84556,                0.47124,                  1.586,                0.96479,                 1.6764,             0.00045107,             0.00045107,             0.00045107
                     18,                    1.3,                 1.1205,                 1.5969,                0.77658,                0.82989,                0.86592,                0.53775,                 1.3874,                0.90815,                 1.5252,             0.00040707,             0.00040707,             0.00040707
                     19,                 1.2677,                 1.0965,                 1.5764,                0.81426,                0.80924,                0.85756,                0.51498,                  1.477,                0.90374,                 1.5894,             0.00036307,             0.00036307,             0.00036307
                     20,                 1.2523,                 1.0423,                 1.5392,                0.81177,                0.82531,                0.88084,                 0.5444,                 1.3598,                0.88949,                  1.479,             0.00031908,             0.00031908,             0.00031908
                     21,                 1.2291,                 1.0074,                 1.5195,                0.84964,                0.82416,                0.86545,                0.52596,                 1.4457,                0.86207,                 1.5566,             0.00027508,             0.00027508,             0.00027508
                     22,                 1.1938,                 0.9749,                  1.489,                0.80957,                0.83293,                0.87039,                0.52862,                 1.4321,                0.84958,                 1.5427,             0.00023109,             0.00023109,             0.00023109
                     23,                 1.1798,                0.95014,                 1.5057,                0.80814,                0.85042,                0.88316,                0.55747,                 1.3162,                0.83845,                 1.4523,             0.00018709,             0.00018709,             0.00018709
                     24,                 1.1544,                0.91022,                 1.4677,                0.77421,                0.87897,                0.88868,                0.56364,                 1.3268,                0.79245,                 1.4632,              0.0001431,              0.0001431,              0.0001431
                     25,                 1.1206,                0.89769,                 1.4535,                0.84091,                0.83451,                0.88747,                0.55691,                 1.3587,                0.79879,                 1.4885,             9.9101e-05,             9.9101e-05,             9.9101e-05
