                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9377,                 7.8169,                 2.2209,                0.68991,                0.56196,                0.60079,                0.30771,                 1.7874,                  3.368,                 1.8661,             0.00036945,             0.00036945,             0.00036945
                      2,                 1.7879,                 4.8965,                 2.0194,                0.70481,                0.57519,                0.67199,                0.31685,                 1.8293,                  2.405,                 1.9103,             0.00066654,             0.00066654,             0.00066654
                      3,                 1.7232,                 3.4236,                 1.9689,                0.70861,                0.68495,                0.70341,                0.31112,                 1.8984,                 2.0092,                 1.9116,             0.00089031,             0.00089031,             0.00089031
                      4,                  1.663,                 2.6128,                 1.9182,                0.71686,                0.66062,                0.74093,                0.39503,                 1.6162,                 1.3953,                 1.6953,             0.00078103,             0.00078103,             0.00078103
                      5,                 1.6088,                 2.1551,                 1.8591,                0.77432,                0.76289,                0.76542,                0.39375,                 1.7257,                 1.3189,                 1.7387,             0.00078103,             0.00078103,             0.00078103
                      6,                 1.5499,                 1.8497,                 1.7854,                0.76234,                0.75611,                0.80349,                0.44267,                 1.5624,                 1.1832,                 1.5826,             0.00067104,             0.00067104,             0.00067104
                      7,                 1.5286,                 1.6986,                 1.7708,                0.77399,                0.75717,                0.81124,                0.43722,                 1.6373,                 1.1686,                 1.6837,             0.00056105,             0.00056105,             0.00056105
                      8,                 1.4713,                 1.5574,                 1.7106,                0.85829,                0.73968,                0.82131,                0.44718,                 1.5997,                 1.1095,                 1.6461,             0.00045107,             0.00045107,             0.00045107
                      9,                 1.4272,                 1.4711,                 1.6745,                0.84743,                0.73664,                0.81487,                0.47108,                 1.5439,                 1.0299,                 1.6492,             0.00034108,             0.00034108,             0.00034108
                     10,                 1.3646,                 1.3758,                 1.6444,                0.82216,                0.78911,                0.84405,                 0.4959,                 1.4904,                0.99775,                 1.5583,             0.00023109,             0.00023109,             0.00023109
